隨心所欲	yb4@lunyu	從心/所欲
溫故知新	yb11@lunyu	溫故/知新
見義勇為	yb24@lunyu	見/勇
瞭如指掌	yc11@lunyu	知其/掌
既往不咎	yc21@lunyu	既往/不咎
盡善盡美	yc25@lunyu	盡美/盡善
不恥下問	ye15@lunyu	敏/問
三思而行	ye20@lunyu	三思/行
不念舊惡	ye23@lunyu	不念/舊惡
聞一知十	ye9@lunyu	聞一/知十
簞食瓢飲	yf11@lunyu	簞食/瓢飮
文質彬彬	yf18@lunyu	文質/彬彬
中庸之道	yf29@lunyu	中庸/乎
舉一反三	yg8@lunyu	舉/反
任重道遠	yh7@lunyu	任重/道遠
循循善誘	yi11@lunyu	循循/善誘
欲罷不能	yi11@lunyu	欲罷/不能
待價而沽	yi13@lunyu	美玉/而沽
苗而不秀	yi22@lunyu	苗而/不秀
後生可畏	yi23@lunyu	後生/可畏
侃侃而談	yj1@lunyu	朝與/侃侃
升堂入室	yk14@lunyu	升堂/於室
過猶不及	yk15@lunyu	過猶/不及
近悅遠來	ym16@lunyu	近者/遠者來
欲速不達	ym17@lunyu	欲速/不達
名正言順	ym3@lunyu	名不/不順
怨天尤人	yn35@lunyu	不怨/尤人
當仁不讓	yo36@lunyu	當/讓
有教無類	yo39@lunyu	有教/無類
殺身成仁	yo9@lunyu	殺身/成仁
分崩離析	yp1@lunyu	分崩/離析
禍起蕭牆	yp2@lunyu	吾恐/之內
血氣方剛	yp7@lunyu	血氣/方剛
道聽塗說	yq14@lunyu	道聽/塗說
患得患失	yq15@lunyu	患得/患失
色厲內荏	yq2@lunyu	色厲/內荏
有始有終	ys12@lunyu	有始/有卒
割雞焉用牛刀	yq4@lunyu	割雞/牛刀